username,num_nominations,url
seherkis,2,https://twitter.com/seherkis
moosechildd,2,https://twitter.com/moosechildd
RoaringAuctions,2,https://twitter.com/RoaringAuctions
WearingFondness,2,https://twitter.com/WearingFondness
MeganWellsbury,2,https://twitter.com/MeganWellsbury
DartaArt,2,https://twitter.com/DartaArt
HoneyOlva,2,https://twitter.com/HoneyOlva
gabrielemoc_,2,https://twitter.com/gabrielemoc_
jencaywood,2,https://twitter.com/jencaywood
_ponygirl,2,https://twitter.com/_ponygirl
samanthacavet,2,https://twitter.com/samanthacavet
Ang_Ramm,2,https://twitter.com/Ang_Ramm
FranquiPaola,2,https://twitter.com/FranquiPaola
raven50mm,2,https://twitter.com/raven50mm
filmblanket,2,https://twitter.com/filmblanket
artbyeleven,2,https://twitter.com/artbyeleven
xmasteve,2,https://twitter.com/xmasteve
sleepylesbee,2,https://twitter.com/sleepylesbee
le_nifty,2,https://twitter.com/le_nifty
KeenVarela2,2,https://twitter.com/KeenVarela2
sheiladarcey,2,https://twitter.com/sheiladarcey
anafae_art,2,https://twitter.com/anafae_art
KalenIwamoto,2,https://twitter.com/KalenIwamoto
TaisKoshino,2,https://twitter.com/TaisKoshino
chelseamealo,2,https://twitter.com/chelseamealo
thisisnotgabs,2,https://twitter.com/thisisnotgabs
lizzy_qt,2,https://twitter.com/lizzy_qt
lanadenina,2,https://twitter.com/lanadenina
jarvinart,2,https://twitter.com/jarvinart
nfttank,2,https://twitter.com/nfttank
BLACKKSNEAKERS,2,https://twitter.com/BLACKKSNEAKERS
CallMeLatasha,2,https://twitter.com/CallMeLatasha
LyonnaLyu,2,https://twitter.com/LyonnaLyu
Strangebox_ltd,1,https://twitter.com/Strangebox_ltd
louvey6,1,https://twitter.com/louvey6
e_turgeneva,1,https://twitter.com/e_turgeneva
Mortem_Crawler,1,https://twitter.com/Mortem_Crawler
ValkyreiaN,1,https://twitter.com/ValkyreiaN
KhariArt28,1,https://twitter.com/KhariArt28
KateMacDonald,1,https://twitter.com/KateMacDonald
djamilaknopf,1,https://twitter.com/djamilaknopf
NFTignition,1,https://twitter.com/NFTignition
CraftyyBee,1,https://twitter.com/CraftyyBee
cpadron_art,1,https://twitter.com/cpadron_art
blue_mbk,1,https://twitter.com/blue_mbk
CalinaAyumi,1,https://twitter.com/CalinaAyumi
needlesxneedles,1,https://twitter.com/needlesxneedles
MaloriePoldi,1,https://twitter.com/MaloriePoldi
dielamaharanie,1,https://twitter.com/dielamaharanie
Lolamenthol,1,https://twitter.com/Lolamenthol
Eyeabovesky,1,https://twitter.com/Eyeabovesky
margarida_m,1,https://twitter.com/margarida_m
thegzdekz,1,https://twitter.com/thegzdekz
bochkareva_arts,1,https://twitter.com/bochkareva_arts
jackie_w_design,1,https://twitter.com/jackie_w_design
antikatinukai,1,https://twitter.com/antikatinukai
_sadmx,1,https://twitter.com/_sadmx
5Ksana,1,https://twitter.com/5Ksana
Pop_Skulture,1,https://twitter.com/Pop_Skulture
Sala7ef,1,https://twitter.com/Sala7ef
rishirajsinghs,1,https://twitter.com/rishirajsinghs
shellysoneja,1,https://twitter.com/shellysoneja
PXhita,1,https://twitter.com/PXhita
drawwriteplay,1,https://twitter.com/drawwriteplay
Vixen2Rock,1,https://twitter.com/Vixen2Rock
lanaeasteregg,1,https://twitter.com/lanaeasteregg
ByBiancaBeers,1,https://twitter.com/ByBiancaBeers
honey2dab,1,https://twitter.com/honey2dab
juliakponsford,1,https://twitter.com/juliakponsford
riceordie_,1,https://twitter.com/riceordie_
theblkchain,1,https://twitter.com/theblkchain
_player0ne_,1,https://twitter.com/_player0ne_
Thebadlament,1,https://twitter.com/Thebadlament
SoulD_CryptoArt,1,https://twitter.com/SoulD_CryptoArt
jfemiki,1,https://twitter.com/jfemiki
yesladypheOnix,1,https://twitter.com/yesladypheOnix
soulcurryart,1,https://twitter.com/soulcurryart
IrinaLiakh,1,https://twitter.com/IrinaLiakh
caatoshi,1,https://twitter.com/caatoshi
5Elnaz,1,https://twitter.com/5Elnaz
peachy_3d,1,https://twitter.com/peachy_3d
Vabyvel,1,https://twitter.com/Vabyvel
nicolemadethat,1,https://twitter.com/nicolemadethat
renechaffins,1,https://twitter.com/renechaffins
daddyweedbucks,1,https://twitter.com/daddyweedbucks
grelysian,1,https://twitter.com/grelysian
skywaterr,1,https://twitter.com/skywaterr
taramoves,1,https://twitter.com/taramoves
667R_,1,https://twitter.com/667R_
artbyyas,1,https://twitter.com/artbyyas
ElenaBrower,1,https://twitter.com/ElenaBrower
Jaime_Byrd,1,https://twitter.com/Jaime_Byrd
PrincessSamurai,1,https://twitter.com/PrincessSamurai
laurietalks,1,https://twitter.com/laurietalks
dulce303,1,https://twitter.com/dulce303
adryenn,1,https://twitter.com/adryenn
EmilyLazar_SM,1,https://twitter.com/EmilyLazar_SM
Shacole_Hamlett,1,https://twitter.com/Shacole_Hamlett
anfasesto,1,https://twitter.com/anfasesto
MehakJainArt,1,https://twitter.com/MehakJainArt
poly_annie,1,https://twitter.com/poly_annie
yoslehz,1,https://twitter.com/yoslehz
ppalma_design,1,https://twitter.com/ppalma_design
mahdieh_farhad,1,https://twitter.com/mahdieh_farhad
EllieZahedi,1,https://twitter.com/EllieZahedi
netacohen_og,1,https://twitter.com/netacohen_og
GabriellaBr,1,https://twitter.com/GabriellaBr
GaelleSeguillon,1,https://twitter.com/GaelleSeguillon
pepelangelo,1,https://twitter.com/pepelangelo
devsynart,1,https://twitter.com/devsynart
CubanToast27,1,https://twitter.com/CubanToast27
TheCrypDonut,1,https://twitter.com/TheCrypDonut
SassyM1417,1,https://twitter.com/SassyM1417
mscryptonaut,1,https://twitter.com/mscryptonaut
bitpixi,1,https://twitter.com/bitpixi
GiselFlorez,1,https://twitter.com/GiselFlorez
MJuventa,1,https://twitter.com/MJuventa
jelwebtv,1,https://twitter.com/jelwebtv
DebbieHdigital,1,https://twitter.com/DebbieHdigital
pianoandthefox,1,https://twitter.com/pianoandthefox
lillating,1,https://twitter.com/lillating
Lastie_7,1,https://twitter.com/Lastie_7
abbie_k,1,https://twitter.com/abbie_k
Bruna_A_V,1,https://twitter.com/Bruna_A_V
Nightjarr_,1,https://twitter.com/Nightjarr_
techjulie,1,https://twitter.com/techjulie
ivndrr,1,https://twitter.com/ivndrr
jsrphotos,1,https://twitter.com/jsrphotos
nisheink,1,https://twitter.com/nisheink
alterlier3,1,https://twitter.com/alterlier3
catherinejw_,1,https://twitter.com/catherinejw_
IllyKostova,1,https://twitter.com/IllyKostova
surrealbox,1,https://twitter.com/surrealbox
JoelleSnaith,1,https://twitter.com/JoelleSnaith
nixnixnixcrypto,1,https://twitter.com/nixnixnixcrypto
megbatphoto,1,https://twitter.com/megbatphoto
D_Art2021,1,https://twitter.com/D_Art2021
RomanceAndAils,1,https://twitter.com/RomanceAndAils
mindbender_art,1,https://twitter.com/mindbender_art
fatinqamber,1,https://twitter.com/fatinqamber
PoJenya,1,https://twitter.com/PoJenya
limitlessmindg1,1,https://twitter.com/limitlessmindg1
AmaliaCht,1,https://twitter.com/AmaliaCht
elenalitver,1,https://twitter.com/elenalitver
fuolkiss,1,https://twitter.com/fuolkiss
cosplayNFT,1,https://twitter.com/cosplayNFT
mollyyenergy,1,https://twitter.com/mollyyenergy
yuliababanova1,1,https://twitter.com/yuliababanova1
alienqueennft,1,https://twitter.com/alienqueennft
DZinovatnaya,1,https://twitter.com/DZinovatnaya
otkudanebo,1,https://twitter.com/otkudanebo
Avlevytska,1,https://twitter.com/Avlevytska
KINKYNFT,1,https://twitter.com/KINKYNFT
RedBerryWoman,1,https://twitter.com/RedBerryWoman
RedDawnFoster1,1,https://twitter.com/RedDawnFoster1
thevanessabowen,1,https://twitter.com/thevanessabowen
ThisIsMarlena,1,https://twitter.com/ThisIsMarlena
ladyranvore,1,https://twitter.com/ladyranvore
MDixken,1,https://twitter.com/MDixken
Ulkamak1,1,https://twitter.com/Ulkamak1
__UWABAMI__,1,https://twitter.com/__UWABAMI__
nilcathy,1,https://twitter.com/nilcathy
shavonnewong,1,https://twitter.com/shavonnewong
lilian_liu,1,https://twitter.com/lilian_liu
reneerobynphoto,1,https://twitter.com/reneerobynphoto
laurakillian,1,https://twitter.com/laurakillian
DesignCheeeese,1,https://twitter.com/DesignCheeeese
CircusQuip,1,https://twitter.com/CircusQuip
paloma_rincon_,1,https://twitter.com/paloma_rincon_
irockutah,1,https://twitter.com/irockutah
Sahartwork,1,https://twitter.com/Sahartwork
Gala_Mirissa,1,https://twitter.com/Gala_Mirissa
katyarrington,1,https://twitter.com/katyarrington
sainthooman,1,https://twitter.com/sainthooman
MichaelaMariaW,1,https://twitter.com/MichaelaMariaW
robynhaddow,1,https://twitter.com/robynhaddow
MikeMongo,1,https://twitter.com/MikeMongo
michelle_grepo,1,https://twitter.com/michelle_grepo
Herrera_saurus,1,https://twitter.com/Herrera_saurus
nebulaezz,1,https://twitter.com/nebulaezz
NukieTimtiman,1,https://twitter.com/NukieTimtiman
shantell_martin,1,https://twitter.com/shantell_martin
MIKASHU02,1,https://twitter.com/MIKASHU02
arditty,1,https://twitter.com/arditty
gozdemutluer,1,https://twitter.com/gozdemutluer
JonathanWinbush,1,https://twitter.com/JonathanWinbush
mvhvma,1,https://twitter.com/mvhvma
mkraplinger,1,https://twitter.com/mkraplinger
Kattysummers,1,https://twitter.com/Kattysummers
Scarlett_vfx,1,https://twitter.com/Scarlett_vfx
cryptopom,1,https://twitter.com/cryptopom
lindaryma,1,https://twitter.com/lindaryma
NanuBerks,1,https://twitter.com/NanuBerks
faithfetish1,1,https://twitter.com/faithfetish1
TammyLovin_,1,https://twitter.com/TammyLovin_
xeroxmott,1,https://twitter.com/xeroxmott
erksenia1,1,https://twitter.com/erksenia1
phavioulous,1,https://twitter.com/phavioulous
sshshln,1,https://twitter.com/sshshln
CryptoK4t,1,https://twitter.com/CryptoK4t
